,DEMAND,NETINTERCHANGE,BATTERY,BIOMASS,BLACK_COAL,BROWN_COAL,DISTILLATE,GAS_CCGT,GAS_OCGT,GAS_RECIP,GAS_STEAM,HYDRO,PUMPS,SOLAR,WIND,PRICE,TEMPERATURE,ROOFTOP_SOLAR
2018-07-30 00:05:00,7489.56,-898.25,,,5588.3,,0.04,0.12,0.0,,,244.0,0.0,1.18,810.91,,,
2018-07-30 00:10:00,7492.34,-848.05,,,5647.94,,0.04,0.13,0.0,,,187.6,0.0,1.18,810.28,,,
2018-07-30 00:15:00,7488.01,-874.46,,,5708.66,,0.04,0.01,0.0,,,145.89,0.0,1.18,808.4,,,
2018-07-30 00:20:00,7507.36,-848.84,,,5689.78,,0.04,0.01,0.0,,,142.55,0.0,1.18,810.76,,,
2018-07-30 00:25:00,7459.7,-863.15,,,5739.87,,0.04,0.04,0.0,,,143.55,0.0,1.18,812.47,,,
2018-07-30 00:30:00,7394.92,-905.12,,,5627.02,,0.04,0.04,0.0,,,119.55,0.0,1.18,800.81,53.2,13.8,0.0
2018-07-30 00:35:00,7305.76,-877.13,,,5590.99,,0.04,0.01,0.0,,,121.53,0.0,1.18,804.36,,,
2018-07-30 00:40:00,7370.85,-980.16,,,5602.86,,0.04,0.12,0.0,,,38.67,0.0,1.18,811.7,,,
2018-07-30 00:45:00,7375.52,-972.7,,,5609.66,,0.04,0.01,0.0,,,36.29,6.35,1.18,809.14,,,
2018-07-30 00:50:00,7371.59,-1014.95,,,5562.75,,0.04,0.04,0.0,,,36.55,42.13,1.18,812.16,,,
2018-07-30 00:55:00,7291.3,-1076.53,,,5507.07,,0.04,0.01,0.0,,,36.09,42.42,1.18,812.17,,,
2018-07-30 01:00:00,7249.31,-1141.81,,,5382.1,,0.04,0.12,0.0,,,36.56,42.37,1.18,812.39,50.61,13.3,0.0
2018-07-30 01:05:00,7275.02,-1214.48,,,5292.59,,0.04,0.01,0.0,,,36.77,42.08,1.18,817.18,,,
2018-07-30 01:10:00,7250.72,-1275.67,,,5172.21,,0.04,0.12,0.0,,,36.37,42.08,1.18,821.4,,,
2018-07-30 01:15:00,7246.16,-1238.21,,,5138.01,,0.04,0.17,0.0,,,36.37,41.64,1.18,806.28,,,
2018-07-30 01:20:00,7172.61,-1196.51,,,5185.64,,0.04,0.04,0.0,,,36.53,41.79,1.18,804.39,,,
2018-07-30 01:25:00,7152.24,-1259.98,,,5147.71,,0.04,0.01,0.0,,,36.66,41.93,1.18,818.5,,,
2018-07-30 01:30:00,7167.41,-1313.34,,,5058.94,,0.04,0.01,0.0,,,36.19,42.18,1.18,814.68,42.67,13.0,0.0
2018-07-30 01:35:00,7123.98,-1217.96,,,4998.76,,0.04,0.12,0.0,,,36.41,41.88,1.18,819.55,,,
2018-07-30 01:40:00,7171.88,-1281.21,,,5043.5,,0.04,0.12,0.0,,,36.36,42.13,1.18,821.49,,,
2018-07-30 01:45:00,7068.25,-1253.31,,,4990.24,,0.04,0.13,0.0,,,36.47,41.98,1.18,835.64,,,
2018-07-30 01:50:00,7070.64,-1292.27,,,4886.16,,0.04,0.01,0.0,,,36.66,41.83,1.18,825.33,,,
2018-07-30 01:55:00,7041.19,-1360.16,,,4844.73,,0.04,0.08,0.0,,,36.08,42.23,1.18,833.49,,,
2018-07-30 02:00:00,6946.18,-1293.06,,,4793.44,,0.04,0.08,0.0,,,36.5,41.83,1.18,845.84,46.82,12.4,0.0
2018-07-30 02:05:00,6899.82,-1278.84,,,4761.38,,0.04,0.04,0.0,,,36.41,41.88,1.18,857.07,,,
2018-07-30 02:10:00,6823.64,-1224.64,,,4722.28,,0.04,0.01,0.0,,,36.27,41.98,1.18,846.22,,,
2018-07-30 02:15:00,6750.52,-1185.35,,,4715.92,,0.04,0.12,0.0,,,36.54,41.88,1.18,852.21,,,
2018-07-30 02:20:00,6789.9,-1238.67,,,4683.21,,0.04,0.04,0.0,,,36.45,41.69,1.18,852.2,,,
2018-07-30 02:25:00,6734.76,-1240.33,,,4646.59,,0.04,0.01,0.0,,,36.35,41.93,1.18,841.56,,,
2018-07-30 02:30:00,6757.11,-1306.26,,,4606.59,,0.04,0.12,0.0,,,36.55,42.23,1.18,827.07,29.93,11.9,0.0
2018-07-30 02:35:00,6640.25,-1261.46,,,4534.28,,0.04,0.12,0.0,,,36.16,42.08,1.18,831.44,,,
2018-07-30 02:40:00,6671.87,-1290.12,,,4499.19,,0.04,0.04,0.0,,,36.26,41.74,1.18,839.88,,,
2018-07-30 02:45:00,6666.53,-1281.74,,,4517.46,,0.04,0.12,0.0,,,36.54,41.79,1.18,839.21,,,
2018-07-30 02:50:00,6662.8,-1301.11,,,4487.85,,0.04,0.04,0.0,,,36.24,42.18,1.18,843.94,,,
2018-07-30 02:55:00,6623.79,-1210.36,,,4499.59,,0.04,0.01,0.0,,,36.24,41.83,1.18,845.69,,,
2018-07-30 03:00:00,6574.35,-1092.73,,,4520.11,,0.05,0.12,0.0,,,36.31,41.83,1.18,840.83,34.76,12.2,0.0
2018-07-30 03:05:00,6611.49,-1166.21,,,4562.49,,0.05,0.01,0.0,,,36.34,42.13,1.18,845.48,,,
2018-07-30 03:10:00,6586.44,-1196.59,,,4518.08,,0.05,0.13,0.0,,,36.37,42.23,1.18,843.24,,,
2018-07-30 03:15:00,6563.45,-1220.19,,,4451.49,,0.05,0.15,0.0,,,36.29,41.93,1.18,859.53,,,
2018-07-30 03:20:00,6502.76,-1193.17,,,4414.1,,0.05,0.12,0.0,,,36.44,42.18,1.18,869.9,,,
2018-07-30 03:25:00,6544.56,-1192.76,,,4412.91,,0.05,0.13,0.0,,,36.52,41.79,1.18,854.42,,,
2018-07-30 03:30:00,6556.79,-1183.53,,,4456.72,,0.05,0.08,0.0,,,36.41,41.64,1.18,859.38,42.65,11.8,0.0
2018-07-30 03:35:00,6536.4,-1161.24,,,4455.22,,0.05,0.12,0.0,,,36.26,42.13,1.18,877.38,,,
2018-07-30 03:40:00,6498.14,-1174.46,,,4442.69,,0.05,0.15,0.0,,,36.52,42.08,1.18,884.91,,,
2018-07-30 03:45:00,6421.36,-1124.78,,,4350.31,,0.05,0.04,0.0,,,36.54,42.08,1.18,892.86,,,
2018-07-30 03:50:00,6464.26,-1155.38,,,4390.31,,0.05,0.12,0.0,,,36.38,41.83,1.18,866.05,,,
2018-07-30 03:55:00,6503.1,-1152.65,,,4399.26,,0.05,0.04,0.0,,,36.54,41.59,1.18,856.72,,,
2018-07-30 04:00:00,6532.83,-1153.33,,,4428.83,,0.05,0.15,0.0,,,36.67,41.64,1.18,858.11,39.57,11.2,0.0
2018-07-30 04:05:00,6620.16,-1180.69,,,4482.18,,0.05,0.12,0.0,,,36.62,41.79,1.18,862.94,,,
2018-07-30 04:10:00,6577.15,-1130.98,,,4506.99,,0.05,0.12,0.0,,,36.25,42.03,1.18,837.12,,,
2018-07-30 04:15:00,6563.54,-1112.44,,,4519.68,,0.05,0.04,0.0,,,36.54,41.83,1.18,840.45,,,
2018-07-30 04:20:00,6610.86,-1058.28,,,4583.69,,0.05,0.01,0.0,,,36.8,41.69,1.18,828.3,,,
