,DEMAND,NETINTERCHANGE,BATTERY,BIOMASS,BLACK_COAL,BROWN_COAL,DISTILLATE,GAS_CCGT,GAS_OCGT,GAS_RECIP,GAS_STEAM,HYDRO,PUMPS,SOLAR,WIND,PRICE,TEMPERATURE,ROOFTOP_SOLAR
2018-03-19 00:05:00,7575.06,-383.95,,,6882.03,,0.04,0.15,0,,,280.0,121.11,0.35,115.54,,,
2018-03-19 00:10:00,7531.51,-368.54,,,6922.18,,0.04,0.24,0,,,193.33,121.01,0.35,125.49,,,
2018-03-19 00:15:00,7529.89,-351.69,,,7011.42,,0.04,0.15,0,,,92.77,121.55,0.35,139.25,,,
2018-03-19 00:20:00,7393.92,-340.24,,,6883.03,,0.04,0.15,0,,,73.56,122.09,0.35,136.24,,,
2018-03-19 00:25:00,7323.8,-349.17,,,6831.53,,0.04,0.21,0,,,69.37,121.45,0.35,136.0,,,
2018-03-19 00:30:00,7303.14,-411.29,,,6775.37,,0.04,0.15,0,,,74.49,121.11,0.35,129.2,62.11,23.1,0.0
2018-03-19 00:35:00,7322.03,-347.22,,,6734.86,,0.04,0.15,0,,,76.07,120.86,0.35,131.88,,,
2018-03-19 00:40:00,7373.82,-324.98,,,6894.18,,0.04,0.2,0,,,31.45,120.33,0.35,140.33,,,
2018-03-19 00:45:00,7319.77,-324.3,,,6855.78,,0.04,0.17,0,,,29.0,121.84,0.35,139.73,,,
2018-03-19 00:50:00,7199.79,-417.8,,,6747.97,,0.04,0.21,0,,,29.26,121.74,0.35,134.61,,,
2018-03-19 00:55:00,7115.55,-487.51,,,6627.99,,0.04,0.18,0,,,29.96,120.86,0.35,130.43,,,
2018-03-19 01:00:00,7042.89,-577.67,,,6476.48,,0.04,0.15,0,,,29.06,121.84,0.35,129.51,61.15,23.0,0.0
2018-03-19 01:05:00,7017.85,-505.78,,,6361.04,,0.04,0.21,0,,,29.08,120.18,0.35,132.92,,,
2018-03-19 01:10:00,7015.9,-591.75,,,6375.52,,0.04,0.21,0,,,29.08,120.28,0.35,135.88,,,
