,DEMAND,NETINTERCHANGE,BATTERY,BIOMASS,BLACK_COAL,BROWN_COAL,DISTILLATE,GAS_CCGT,GAS_OCGT,GAS_RECIP,GAS_STEAM,HYDRO,PUMPS,SOLAR,WIND,PRICE,TEMPERATURE,ROOFTOP_SOLAR
2019-01-21 00:05:00,1523.56,-60.14,0.21999999999999997,,,,0.02,636.77,0.0,,195.39,,,0.0,650.2,,,
2019-01-21 00:10:00,1492.47,-30.11,0.28,,,,0.02,635.26,0.0,,187.55,,,0.0,655.7,,,
2019-01-21 00:15:00,1492.31,-26.59,-0.11,,,,0.02,637.44,0.0,,180.12,,,0.0,646.24,,,
2019-01-21 00:20:00,1490.85,-28.98,-0.06999999999999999,,,,0.02,638.51,0.0,,181.01,,,0.0,641.24,,,
2019-01-21 00:25:00,1461.52,-72.75,-34.18,,,,0.02,633.76,0.0,,157.82,,,0.0,634.86,,,
2019-01-21 00:30:00,1479.37,-86.56,-0.06,,,,0.02,621.62,0.0,,148.67,,,0.0,635.04,105.39,21.6,0.0
2019-01-21 00:35:00,1453.66,-54.76,-31.31,,,,0.02,615.49,0.0,,130.81,,,0.0,618.0,,,
2019-01-21 00:40:00,1452.51,-33.21,-0.05,,,,0.02,638.05,0.0,,139.07,,,0.0,605.97,,,
2019-01-21 00:45:00,1449.49,-50.72,-10.1,,,,0.02,646.1,0.0,,163.61,,,0.0,597.45,,,
2019-01-21 00:50:00,1440.19,-80.27,-15.25,,,,0.02,633.25,0.0,,137.47,,,0.0,584.46,,,
2019-01-21 00:55:00,1428.04,-66.33,-0.59,,,,0.02,644.92,0.0,,133.81,,,0.0,583.17,,,
2019-01-21 01:00:00,1389.93,-29.78,-0.39,,,,0.02,643.78,0.0,,129.79,,,0.0,582.94,100.24,23.0,0.0
2019-01-21 01:05:00,1422.05,-73.55,-1.5,,,,0.02,644.0,0.0,,128.65,,,0.0,580.75,,,
2019-01-21 01:10:00,1371.39,-101.66,-36.14,,,,0.02,643.95,0.0,,125.82,,,0.0,595.67,,,
2019-01-21 01:15:00,1354.91,-30.6,-3.9800000000000004,,,,0.02,586.89,0.0,,109.82,,,0.0,607.77,,,
2019-01-21 01:20:00,1347.13,-62.11,-0.14,,,,0.02,605.51,0.0,,109.86,,,0.0,631.64,,,
2019-01-21 01:25:00,1362.63,-53.0,-1.4,,,,0.02,570.25,0.0,,113.08,,,0.0,620.41,,,
2019-01-21 01:30:00,1311.45,-66.02,-36.27,,,,0.02,561.6,0.0,,110.65,,,0.0,636.26,72.67,22.4,0.0
2019-01-21 01:35:00,1349.82,-106.71,-3.52,,,,0.02,545.97,0.0,,109.35,,,0.0,632.5,,,
2019-01-21 01:40:00,1309.37,-15.24,-36.57,,,,0.02,505.41,0.0,,107.19,,,0.0,622.5,,,
2019-01-21 01:45:00,1296.95,28.61,-3.85,,,,0.02,543.3,0.0,,110.87,,,0.0,616.6,,,
2019-01-21 01:50:00,1350.58,-45.47,-20.67,,,,0.02,588.31,0.0,,109.47,,,0.0,619.59,,,
2019-01-21 01:55:00,1291.2,40.64,-35.89,,,,0.02,575.23,0.0,,111.01,,,0.0,640.94,,,
2019-01-21 02:00:00,1298.02,54.16,-16.63,,,,0.02,588.18,0.0,,110.91,,,0.0,649.34,78.55,23.3,0.0
2019-01-21 02:05:00,1289.01,24.2,-25.87,,,,0.02,589.55,0.0,,111.48,,,0.0,666.39,,,
2019-01-21 02:10:00,1286.71,-23.33,-29.74,,,,0.02,523.66,0.0,,109.32,,,0.0,680.77,,,
2019-01-21 02:15:00,1313.11,-43.95,-0.27,,,,0.02,497.27,0.0,,110.81,,,0.0,683.85,,,
2019-01-21 02:20:00,1269.04,-2.1,-20.22,,,,0.02,464.72,0.0,,109.23,,,0.0,686.1,,,
2019-01-21 02:25:00,1321.94,-58.39,-2.11,,,,0.02,473.43,0.0,,109.73,,,0.0,684.28,,,
2019-01-21 02:30:00,1281.93,-12.72,-18.06,,,,0.02,462.53,0.0,,108.81,,,0.0,688.02,67.92,22.8,0.0
2019-01-21 02:35:00,1268.38,-3.07,-9.57,,,,0.02,470.41,0.0,,106.66,,,0.0,688.18,,,
2019-01-21 02:40:00,1304.31,-40.41,-11.88,,,,0.02,470.91,0.0,,107.84,,,0.0,681.92,,,
2019-01-21 02:45:00,1261.3,3.97,-40.85,,,,0.02,472.11,0.0,,106.75,,,0.0,683.33,,,
2019-01-21 02:50:00,1265.74,7.58,-33.8,,,,0.02,473.65,0.0,,111.09,,,0.0,687.41,,,
2019-01-21 02:55:00,1281.18,0.99,-10.52,,,,0.02,471.17,0.0,,107.99,,,0.0,704.8,,,
2019-01-21 03:00:00,1263.25,22.0,-5.17,,,,0.02,472.37,0.0,,110.17,,,0.0,710.77,69.12,20.9,0.0
2019-01-21 03:05:00,1281.0,13.17,-5.23,,,,0.02,473.0,0.0,,111.41,,,0.0,716.5,,,
2019-01-21 03:10:00,1304.95,0.33,-5.27,,,,0.02,471.43,0.0,,109.47,,,0.0,704.21,,,
2019-01-21 03:15:00,1288.11,-3.13,-41.44,,,,0.02,471.37,0.0,,112.0,,,0.0,708.36,,,
2019-01-21 03:20:00,1266.12,24.37,-44.61,,,,0.02,469.64,0.0,,109.68,,,0.0,707.67,,,
2019-01-21 03:25:00,1254.21,25.99,-22.47,,,,0.02,471.48,0.0,,110.02,,,0.0,679.63,,,
2019-01-21 03:30:00,1248.15,17.73,-2.0,,,,0.02,471.09,0.0,,111.53,,,0.0,675.61,63.95,20.4,0.0
2019-01-21 03:35:00,1296.7,-40.1,-11.91,,,,0.02,470.79,0.0,,108.83,,,0.0,673.05,,,
2019-01-21 03:40:00,1285.9,-0.36,-36.57,,,,0.02,470.99,0.0,,110.42,,,0.0,672.62,,,
2019-01-21 03:45:00,1262.7,86.29,-39.48,,,,0.02,515.21,0.0,,112.39,,,0.0,660.16,,,
2019-01-21 03:50:00,1276.35,82.67,-4.26,,,,0.02,541.62,0.0,,109.82,,,0.0,667.25,,,
2019-01-21 03:55:00,1259.34,124.61,-26.62,,,,0.02,589.61,0.0,,112.38,,,0.0,671.52,,,
2019-01-21 04:00:00,1310.42,85.25,-8.71,,,,0.02,596.93,0.0,,106.89,,,0.0,671.06,78.96,20.9,0.0
2019-01-21 04:05:00,1324.99,61.34,-36.84,,,,0.02,617.68,0.0,,109.66,,,0.0,679.79,,,
2019-01-21 04:10:00,1307.23,34.37,-40.04,,,,0.02,600.63,0.0,,110.3,,,0.0,688.59,,,
2019-01-21 04:15:00,1284.22,27.54,-40.07,,,,0.02,562.99,0.0,,108.65,,,0.0,686.26,,,
2019-01-21 04:20:00,1268.18,5.2,-40.03,,,,0.02,513.32,0.0,,111.65,,,0.0,679.68,,,
2019-01-21 04:25:00,1295.35,-36.04,-40.05,,,,0.02,475.89,0.0,,111.66,,,0.0,678.57,,,
2019-01-21 04:30:00,1296.35,-22.43,-40.07,,,,0.02,476.48,0.0,,117.86,,,0.0,680.84,69.83,20.7,0.0
2019-01-21 04:35:00,1289.2,-21.15,-39.97,,,,0.02,474.75,0.0,,116.75,,,0.0,681.11,,,
2019-01-21 04:40:00,1293.68,-20.16,-39.48,,,,0.02,473.1,0.0,,119.38,,,0.0,664.76,,,
2019-01-21 04:45:00,1304.04,-10.58,-39.339999999999996,,,,0.02,473.5,0.0,,119.7,,,0.0,659.78,,,
2019-01-21 04:50:00,1320.71,-54.38,-39.48,,,,0.02,513.32,0.0,,125.95,,,0.0,654.01,,,
2019-01-21 04:55:00,1319.82,-32.73,-39.47,,,,0.02,490.8,0.0,,127.7,,,0.0,648.6,,,
2019-01-21 05:00:00,1268.8,71.4,-39.41,,,,0.02,504.78,0.0,,134.13,,,0.0,635.55,76.65,20.9,0.0
2019-01-21 05:05:00,1291.15,121.11,-4.24,,,,0.02,569.02,0.0,,136.33,,,0.0,629.7,,,
2019-01-21 05:10:00,1327.24,97.3,-0.38,,,,0.02,629.12,0.0,,136.78,,,0.0,633.11,,,
2019-01-21 05:15:00,1307.78,101.65,-25.71,,,,0.02,638.99,0.0,,141.28,,,0.0,629.79,,,
2019-01-21 05:20:00,1321.94,91.57,-14.53,,,,0.02,637.39,0.0,,143.71,,,0.0,619.85,,,
