,DEMAND,NETINTERCHANGE,BATTERY,BIOMASS,BLACK_COAL,BROWN_COAL,DISTILLATE,GAS_CCGT,GAS_OCGT,GAS_RECIP,GAS_STEAM,HYDRO,PUMPS,SOLAR,WIND,PRICE,TEMPERATURE,ROOFTOP_SOLAR
2018-11-12 00:05:00,6642.48,135.45,,,6149.06,,0.03,0.04,0.0,,,82.69,122.18,0.33,461.24,,,
2018-11-12 00:10:00,6676.16,95.79,,,6160.37,,0.03,0.15,0.0,,,82.41,120.96,0.33,458.63,,,
2018-11-12 00:15:00,6694.23,42.83,,,6133.36,,0.03,0.15,0.0,,,81.69,121.55,0.33,459.02,,,
2018-11-12 00:20:00,6658.33,72.47,,,6121.63,,0.03,0.14,0.0,,,82.39,120.86,0.33,453.49,,,
2018-11-12 00:25:00,6568.26,79.68,,,6119.29,,0.03,0.15,0.0,,,82.64,120.86,0.33,456.75,,,
2018-11-12 00:30:00,6611.58,24.84,,,6074.63,,0.03,0.12,0.0,,,82.46,120.91,0.33,461.85,56.45,18.6,0.0
2018-11-12 00:35:00,6563.76,45.19,,,6031.7,,0.03,0.15,0.0,,,82.0,121.59,0.33,471.08,,,
2018-11-12 00:40:00,6674.38,65.56,,,6057.19,,0.03,0.12,0.0,,,82.26,120.28,0.33,467.75,,,
2018-11-12 00:45:00,6608.03,69.34,,,6110.71,,0.03,0.12,0.0,,,82.52,121.74,0.33,467.96,,,
2018-11-12 00:50:00,6602.48,10.13,,,6030.31,,0.03,0.15,0.0,,,83.05,121.74,0.33,469.29,,,
2018-11-12 00:55:00,6542.11,-6.15,,,5995.74,,0.03,0.15,0.0,,,81.9,121.55,0.33,472.91,,,
2018-11-12 01:00:00,6499.09,-5.4,,,5907.06,,0.03,0.12,0.0,,,80.97,122.18,0.33,465.76,56.69,17.4,0.0
2018-11-12 01:05:00,6516.01,-44.58,,,5829.11,,0.03,0.15,0.0,,,82.02,121.59,0.33,472.95,,,
2018-11-12 01:10:00,6575.76,-54.25,,,5885.78,,0.03,0.12,0.0,,,51.38,202.52,0.33,471.68,,,
2018-11-12 01:15:00,6530.32,-63.92,,,5945.18,,0.03,0.04,0.0,,,51.21,322.5,0.33,469.46,,,
2018-11-12 01:20:00,6450.46,-93.97,,,5887.77,,0.03,0.15,0.0,,,51.37,320.17,0.33,468.21,,,
2018-11-12 01:25:00,6463.8,-60.95,,,5778.2,,0.03,0.17,0.0,,,51.29,315.47,0.33,468.77,,,
2018-11-12 01:30:00,6466.43,-138.78,,,5754.81,,0.03,0.12,0.0,,,50.76,319.44,0.33,473.9,59.29,16.7,0.0
2018-11-12 01:35:00,6391.81,-113.5,,,5695.96,,0.03,0.04,0.0,,,50.79,318.0,0.33,479.63,,,
2018-11-12 01:40:00,6349.58,-67.06,,,5683.51,,0.03,0.21,0.0,,,51.54,314.53,0.33,474.65,,,
2018-11-12 01:45:00,6343.18,-135.26,,,5683.46,,0.03,0.13,0.0,,,51.41,315.96,0.33,468.53,,,
2018-11-12 01:50:00,6302.18,-161.61,,,5621.94,,0.03,0.12,0.0,,,51.17,317.95,0.33,469.84,,,
2018-11-12 01:55:00,6287.29,-273.06,,,5550.72,,0.03,0.16,0.0,,,50.86,319.82,0.33,464.69,,,
2018-11-12 02:00:00,6216.26,-312.17,,,5437.41,,0.03,0.16,0.0,,,51.71,318.6,0.33,455.38,58.3,16.3,0.0
2018-11-12 02:05:00,6226.82,-326.52,,,5338.25,,0.03,0.04,0.0,,,51.0,318.0,0.33,446.08,,,
2018-11-12 02:10:00,6239.74,-311.24,,,5360.83,,0.03,0.12,0.0,,,51.77,317.79,0.33,443.74,,,
2018-11-12 02:15:00,6199.23,-363.08,,,5325.58,,0.03,0.21,0.0,,,51.16,318.39,0.33,437.37,,,
2018-11-12 02:20:00,6215.6,-393.01,,,5294.44,,0.03,0.12,0.0,,,51.35,321.27,0.33,437.07,,,
2018-11-12 02:25:00,6165.33,-407.65,,,5259.74,,0.03,0.01,0.0,,,51.32,318.59,0.33,432.9,,,
2018-11-12 02:30:00,6131.95,-440.12,,,5207.99,,0.03,0.15,0.0,,,50.79,321.11,0.33,444.7,58.4,15.9,0.0
2018-11-12 02:35:00,6081.39,-386.19,,,5147.63,,0.03,0.16,0.0,,,50.64,317.79,0.33,436.38,,,
2018-11-12 02:40:00,6083.66,-502.01,,,5147.28,,0.03,0.04,0.0,,,51.53,274.77,0.33,429.88,,,
2018-11-12 02:45:00,6057.43,-478.66,,,5034.07,,0.03,0.17,0.0,,,51.42,273.28,0.33,421.63,,,
2018-11-12 02:50:00,6060.25,-430.34,,,5070.07,,0.03,0.15,0.0,,,50.95,274.16,0.33,412.7,,,
2018-11-12 02:55:00,6106.65,-548.18,,,5099.81,,0.03,0.04,0.0,,,51.56,276.45,0.33,399.73,,,
2018-11-12 03:00:00,6071.12,-443.06,,,5096.16,,0.02,0.08,0.0,,,51.05,274.86,0.33,383.67,56.65,15.8,0.0
2018-11-12 03:05:00,6104.85,-490.42,,,5148.65,,0.02,0.18,0.0,,,50.62,276.35,0.33,378.04,,,
2018-11-12 03:10:00,6136.06,-453.83,,,5126.43,,0.02,0.15,0.0,,,51.52,274.87,0.33,385.58,,,
2018-11-12 03:15:00,6169.07,-478.37,,,5227.33,,0.02,0.01,0.0,,,50.83,275.16,0.33,379.85,,,
2018-11-12 03:20:00,6171.19,-542.45,,,5202.84,,0.02,0.18,0.0,,,51.38,277.85,0.33,375.56,,,
2018-11-12 03:25:00,6183.38,-501.9,,,5115.03,,0.02,0.15,0.0,,,51.01,273.37,0.33,373.97,,,
2018-11-12 03:30:00,6185.04,-480.51,,,5155.48,,0.02,0.12,0.0,,,50.79,274.57,0.33,373.72,59.28,15.7,0.0
2018-11-12 03:35:00,6249.65,-480.34,,,5198.76,,0.02,0.15,0.0,,,51.01,273.27,0.33,378.48,,,
2018-11-12 03:40:00,6263.59,-478.48,,,5309.01,,0.02,0.13,0.0,,,51.1,275.76,0.33,373.23,,,
2018-11-12 03:45:00,6300.42,-442.09,,,5314.76,,0.03,0.12,0.0,,,51.21,272.88,0.33,367.33,,,
2018-11-12 03:50:00,6305.86,-411.81,,,5303.32,,0.03,0.15,0.0,,,50.71,274.57,0.33,369.64,,,
2018-11-12 03:55:00,6351.24,-405.18,,,5418.09,,0.03,0.15,0.0,,,51.38,276.16,0.33,371.33,,,
2018-11-12 04:00:00,6380.21,-334.68,,,5523.32,,0.03,0.15,0.0,,,51.02,275.36,0.33,374.79,63.26,15.7,0.0
2018-11-12 04:05:00,6398.73,-219.44,,,5566.06,,0.03,0.12,0.0,,,51.23,278.05,0.33,375.89,,,
2018-11-12 04:10:00,6293.52,-212.26,,,5652.28,,0.03,0.13,0.0,,,50.91,276.16,0.33,379.36,,,
2018-11-12 04:15:00,6309.66,-69.17,,,5629.14,,0.03,0.12,0.0,,,51.21,78.98,0.33,383.1,,,
2018-11-12 04:20:00,6369.55,-124.75,,,5691.11,,0.03,0.15,0.0,,,50.76,79.96,0.33,383.63,,,
2018-11-12 04:25:00,6372.32,-15.81,,,5740.09,,0.03,0.14,0.0,,,51.85,79.17,0.33,379.81,,,
2018-11-12 04:30:00,6467.7,9.81,,,5863.82,,0.03,0.01,0.0,,,50.83,79.27,0.33,380.5,58.47,15.8,0.0
2018-11-12 04:35:00,6491.56,13.23,,,5966.61,,0.03,0.15,0.0,,,51.25,79.96,0.33,372.61,,,
2018-11-12 04:40:00,6556.98,115.18,,,6038.98,,0.03,0.16,0.0,,,51.09,79.37,0.33,369.37,,,
2018-11-12 04:45:00,6605.32,131.3,,,6120.87,,0.03,0.12,0.0,,,51.22,79.86,0.33,376.16,,,
2018-11-12 04:50:00,6615.36,198.27,,,6222.4,,0.03,0.12,0.0,,,51.44,79.37,0.33,388.34,,,
2018-11-12 04:55:00,6627.48,194.52,,,6252.16,,0.03,0.18,0.0,,,50.66,79.86,0.33,389.52,,,
2018-11-12 05:00:00,6724.37,166.4,,,6248.52,,0.03,0.01,0.0,,,50.71,79.86,0.33,388.64,60.2,15.7,3.04
2018-11-12 05:05:00,6734.48,106.08,,,6368.34,,0.03,0.12,0.0,,,50.32,79.27,0.33,394.59,,,
2018-11-12 05:10:00,6837.76,119.66,,,6396.14,,0.03,0.16,0.0,,,50.77,0.0,0.53,392.41,,,
2018-11-12 05:15:00,6946.25,133.81,,,6469.4,,0.03,0.08,0.0,,,51.27,0.0,1.33,406.14,,,
2018-11-12 05:20:00,7022.35,173.58,,,6584.34,,0.03,0.01,0.0,,,51.47,0.0,2.96,406.38,,,
2018-11-12 05:25:00,7067.99,179.93,,,6650.81,,0.03,0.15,0.0,,,50.97,0.0,5.38,399.25,,,
2018-11-12 05:30:00,7137.55,145.15,,,6720.39,,0.03,0.12,0.0,,,51.09,0.0,9.56,408.4,58.28,15.7,43.69
2018-11-12 05:35:00,7227.8,78.7,,,6734.71,,0.03,0.12,0.0,,,51.23,0.0,25.19,405.16,,,
2018-11-12 05:40:00,7278.75,124.74,,,6760.43,,0.03,0.12,0.0,,,50.63,0.0,34.17,403.8,,,
2018-11-12 05:45:00,7347.46,100.44,,,6857.26,,0.03,0.13,0.0,,,50.09,0.0,50.26,400.12,,,
2018-11-12 05:50:00,7446.33,7.66,,,6865.47,,0.03,0.12,0.0,,,51.38,0.0,66.45,409.81,,,
2018-11-12 05:55:00,7496.32,42.31,,,6871.46,,0.03,0.12,0.0,,,51.38,0.0,84.74,410.7,,,
2018-11-12 06:00:00,7448.29,10.69,,,6885.72,,0.02,0.13,0.0,,,50.92,0.0,99.51,400.73,60.6,16.5,121.44
2018-11-12 06:05:00,7445.64,7.76,,,6779.37,,0.02,0.12,0.0,,,51.83,0.0,145.11,392.96,,,
2018-11-12 06:10:00,7510.23,52.98,,,6786.09,,0.02,0.12,0.0,,,51.12,0.0,149.03,383.75,,,
2018-11-12 06:15:00,7612.82,10.5,,,6859.41,,0.02,0.17,0.0,,,51.14,0.0,172.79,376.28,,,
2018-11-12 06:20:00,7610.09,-18.37,,,6933.9,,0.02,0.01,0.0,,,51.5,0.0,202.75,375.15,,,
2018-11-12 06:25:00,7693.38,-100.31,,,6903.32,,0.02,0.04,0.0,,,51.4,0.0,205.74,369.62,,,
2018-11-12 06:30:00,7653.6,-47.67,,,6919.12,,0.02,0.17,0.0,,,51.06,0.0,240.81,356.39,73.67,17.2,228.56
2018-11-12 06:35:00,7766.9,-90.3,,,6883.13,,0.02,0.01,0.0,,,51.07,0.0,254.26,348.65,,,
2018-11-12 06:40:00,7795.11,-73.44,,,6962.6,,0.02,0.14,0.0,,,51.15,0.0,286.04,338.02,,,
2018-11-12 06:45:00,7761.49,-52.33,,,6978.04,,0.03,0.13,0.0,,,51.41,0.0,302.69,327.06,,,
2018-11-12 06:50:00,7760.53,-32.67,,,6974.41,,0.03,0.01,0.0,,,50.9,0.0,308.93,316.9,,,
2018-11-12 06:55:00,7805.58,-54.72,,,7008.48,,0.03,0.12,0.0,,,51.11,0.0,322.15,308.41,,,
2018-11-12 07:00:00,7790.25,-97.92,,,6962.94,,0.03,0.15,0.0,,,50.75,0.0,231.51,290.74,70.39,19.0,360.62
2018-11-12 07:05:00,7804.27,-119.2,,,7022.4,,0.03,0.14,0.0,,,51.47,0.0,236.44,283.47,,,
2018-11-12 07:10:00,7834.87,-142.32,,,6997.36,,0.03,0.04,0.0,,,50.17,0.0,281.58,273.32,,,
2018-11-12 07:15:00,7801.31,-67.37,,,7049.51,,0.03,0.15,0.0,,,51.61,0.0,281.19,273.47,,,
2018-11-12 07:20:00,7807.38,-76.92,,,7020.64,,0.03,0.14,0.0,,,50.81,0.0,313.52,269.2,,,
2018-11-12 07:25:00,7812.45,-63.97,,,6976.51,,0.03,0.04,0.0,,,50.32,0.0,336.89,263.2,,,
2018-11-12 07:30:00,7846.4,-95.82,,,7036.82,,0.03,0.15,0.0,,,51.5,0.0,350.74,254.44,65.8,21.2,495.75
2018-11-12 07:35:00,7737.75,2.19,,,6980.57,,0.03,0.16,0.0,,,51.7,0.0,338.45,249.36,,,
2018-11-12 07:40:00,7748.72,16.68,,,7032.74,,0.03,0.12,0.0,,,51.73,0.0,360.0,238.33,,,
2018-11-12 07:45:00,7743.95,43.14,,,7043.36,,0.03,0.12,0.0,,,50.59,0.0,363.85,238.34,,,
2018-11-12 07:50:00,7754.67,45.96,,,7093.87,,0.03,0.13,0.0,,,51.2,0.0,392.77,230.5,,,
2018-11-12 07:55:00,7735.45,74.09,,,7031.15,,0.03,0.15,0.0,,,51.0,0.0,407.31,217.45,,,
2018-11-12 08:00:00,7810.79,11.78,,,7057.31,,0.03,0.08,0.0,,,50.96,0.0,413.0,205.85,62.51,22.0,620.94
2018-11-12 08:05:00,7755.34,86.83,,,7082.63,,0.03,0.14,0.0,,,50.9,0.0,417.29,197.35,,,
2018-11-12 08:10:00,7820.66,28.21,,,7167.57,,0.03,0.14,0.0,,,50.93,0.0,424.81,191.1,,,
2018-11-12 08:15:00,7843.97,-31.8,,,7117.74,,0.03,0.13,0.0,,,51.84,0.0,425.49,168.48,,,
2018-11-12 08:20:00,7844.07,-28.89,,,7046.23,,0.03,0.12,0.0,,,51.14,80.93,427.73,163.44,,,
2018-11-12 08:25:00,7820.95,-26.35,,,7124.24,,0.03,0.13,0.0,,,50.82,79.47,432.06,155.32,,,
2018-11-12 08:30:00,7811.76,-24.23,,,7078.56,,0.03,0.12,0.0,,,51.58,79.66,447.82,152.42,66.65,22.2,773.0
2018-11-12 08:35:00,7829.17,-14.68,,,7095.91,,0.03,0.15,0.0,,,50.86,78.98,462.61,141.18,,,
2018-11-12 08:40:00,7829.08,-14.28,,,7074.39,,0.03,0.18,0.0,,,50.65,79.86,451.57,131.5,,,
2018-11-12 08:45:00,7805.16,11.63,,,7079.67,,0.03,0.12,0.0,,,50.96,78.88,451.07,119.39,,,
2018-11-12 08:50:00,7796.88,23.8,,,7129.81,,0.03,0.04,0.0,,,50.89,78.78,478.17,112.15,,,
2018-11-12 08:55:00,7844.73,-2.21,,,7101.3,,0.03,0.14,0.0,,,51.68,79.37,486.0,106.5,,,
2018-11-12 09:00:00,7855.41,-32.55,,,7148.81,,0.03,0.15,0.0,,,51.45,79.27,493.88,96.43,70.68,22.6,864.59
2018-11-12 09:05:00,7910.06,9.22,,,7134.98,,0.03,0.13,0.0,,,51.48,79.08,482.87,107.94,,,
2018-11-12 09:10:00,7921.37,-17.73,,,7182.63,,0.03,0.12,0.0,,,51.31,80.05,487.28,91.23,,,
2018-11-12 09:15:00,7882.42,-34.43,,,7158.87,,0.03,0.15,0.0,,,82.67,79.96,497.12,85.27,,,
2018-11-12 09:20:00,7861.53,-26.2,,,7128.52,,0.03,0.12,0.0,,,82.65,80.05,484.24,93.39,,,
2018-11-12 09:25:00,7843.77,-20.12,,,7099.76,,0.03,0.01,0.0,,,44.4,80.05,504.32,95.79,,,
2018-11-12 09:30:00,7875.11,-111.95,,,7096.89,,0.03,0.14,0.0,,,44.09,79.86,471.36,91.49,74.41,22.3,988.16
2018-11-12 09:35:00,7839.46,5.45,,,7119.77,,0.03,0.16,0.0,,,44.29,78.98,489.34,95.99,,,
2018-11-12 09:40:00,7891.2,-13.23,,,7154.94,,0.03,0.16,0.0,,,47.39,79.17,505.88,95.43,,,
2018-11-12 09:45:00,7779.29,58.28,,,7157.28,,0.03,0.04,0.0,,,46.6,79.86,514.67,85.17,,,
2018-11-12 09:50:00,7834.19,-29.69,,,7153.61,,0.03,0.15,0.0,,,26.01,78.78,513.76,80.24,,,
2018-11-12 09:55:00,7828.6,10.26,,,7106.01,,0.03,0.13,0.0,,,13.99,79.76,516.98,75.71,,,
2018-11-12 10:00:00,7821.22,17.01,,,7151.53,,0.03,0.15,0.0,,,13.6,79.96,514.47,84.36,69.24,22.4,1033.16
2018-11-12 10:05:00,7860.18,-31.34,,,7126.79,,0.03,0.04,0.0,,,44.91,79.27,510.16,65.67,,,
