,DEMAND,NETINTERCHANGE,BATTERY,BIOMASS,BLACK_COAL,BROWN_COAL,DISTILLATE,GAS_CCGT,GAS_OCGT,GAS_RECIP,GAS_STEAM,HYDRO,PUMPS,SOLAR,WIND,PRICE,TEMPERATURE,ROOFTOP_SOLAR
2018-05-21 00:05:00,7393.21,-750.53,,,6196.52,,0.03,0.12,0.0,,,14.5,0.0,0.12,440.48,,,
2018-05-21 00:10:00,7402.29,-832.34,,,6138.57,,0.03,0.15,0.0,,,14.41,0.0,0.12,433.53,,,
2018-05-21 00:15:00,7443.44,-922.38,,,6049.67,,0.03,0.15,0.0,,,14.51,0.0,0.12,429.88,,,
2018-05-21 00:20:00,7431.73,-928.57,,,6001.57,,0.03,0.08,0.0,,,14.41,79.86,0.12,437.91,,,
2018-05-21 00:25:00,7317.99,-862.81,,,6040.02,,0.03,0.13,0.0,,,14.5,79.57,0.12,432.03,,,
2018-05-21 00:30:00,7315.08,-954.3,,,5982.54,,0.03,0.12,0.0,,,14.6,79.57,0.12,435.24,53.47,13.1,0.0
2018-05-21 00:35:00,7307.55,-906.04,,,5889.25,,0.03,0.17,0.0,,,14.59,79.57,0.12,437.38,,,
2018-05-21 00:40:00,7391.84,-966.58,,,5922.23,,0.03,0.04,0.0,,,14.5,79.57,0.12,436.67,,,
2018-05-21 00:45:00,7369.61,-1010.33,,,5937.83,,0.03,0.17,0.0,,,14.6,80.05,0.12,452.74,,,
2018-05-21 00:50:00,7329.07,-1035.08,,,5833.25,,0.03,0.12,0.0,,,14.5,121.11,0.12,463.18,,,
2018-05-21 00:55:00,7225.36,-1061.46,,,5761.71,,0.03,0.15,0.0,,,14.5,122.33,0.12,478.15,,,
2018-05-21 01:00:00,7198.98,-1124.1,,,5677.62,,0.03,0.08,0.0,,,14.5,122.58,0.12,511.63,61.15,12.9,0.0
2018-05-21 01:05:00,7202.08,-1208.74,,,5566.88,,0.03,0.12,0.0,,,14.6,120.57,0.12,515.84,,,
2018-05-21 01:10:00,7163.97,-1212.13,,,5458.13,,0.03,0.12,0.0,,,14.5,121.25,0.12,519.84,,,
2018-05-21 01:15:00,7197.55,-1294.63,,,5398.92,,0.03,0.15,0.0,,,14.5,121.89,0.12,541.22,,,
2018-05-21 01:20:00,7159.6,-1342.76,,,5316.87,,0.03,0.16,0.0,,,14.6,120.62,0.12,540.18,,,
2018-05-21 01:25:00,7080.39,-1259.63,,,5218.79,,0.03,0.08,0.0,,,14.6,121.11,0.12,554.42,,,
2018-05-21 01:30:00,7044.23,-1262.26,,,5199.58,,0.03,0.04,0.0,,,14.6,121.94,0.12,570.16,59.89,12.9,0.0
2018-05-21 01:35:00,6986.99,-1262.87,,,5176.73,,0.03,0.15,0.0,,,14.5,121.45,0.12,559.48,,,
2018-05-21 01:40:00,7100.67,-1427.52,,,5092.38,,0.03,0.15,0.0,,,14.5,121.11,0.12,536.8,,,
2018-05-21 01:45:00,6965.91,-1413.95,,,5008.2,,0.03,0.12,0.0,,,14.6,122.33,0.12,537.28,,,
2018-05-21 01:50:00,6944.45,-1394.32,,,4950.48,,0.03,0.04,0.0,,,14.04,121.89,0.12,538.54,,,
2018-05-21 01:55:00,6946.46,-1464.92,,,4958.7,,0.03,0.12,0.0,,,14.17,122.04,0.12,522.6,,,
2018-05-21 02:00:00,6929.65,-1486.77,,,4914.29,,0.03,0.12,0.0,,,14.23,120.91,0.12,525.04,65.53,12.6,0.0
2018-05-21 02:05:00,6835.91,-1421.52,,,4827.76,,0.03,0.01,0.0,,,14.14,121.79,0.12,536.03,,,
2018-05-21 02:10:00,6745.61,-1431.86,,,4794.34,,0.03,0.12,0.0,,,14.11,122.13,0.12,530.04,,,
2018-05-21 02:15:00,6749.31,-1492.11,,,4749.0,,0.03,0.18,0.0,,,14.14,120.82,0.12,522.37,,,
2018-05-21 02:20:00,6748.96,-1561.54,,,4659.63,,0.03,0.15,0.0,,,14.07,121.65,0.12,518.86,,,
2018-05-21 02:25:00,6643.97,-1557.22,,,4562.24,,0.03,0.12,0.0,,,14.13,122.43,0.12,502.69,,,
2018-05-21 02:30:00,6557.44,-1519.72,,,4500.77,,0.03,0.12,0.0,,,14.14,120.86,0.12,516.54,36.08,12.2,0.0
2018-05-21 02:35:00,6578.21,-1584.75,,,4440.3,,0.03,0.15,0.0,,,14.17,120.62,0.12,523.77,,,
2018-05-21 02:40:00,6581.77,-1621.89,,,4413.43,,0.03,0.15,0.0,,,14.25,121.35,0.12,523.8,,,
2018-05-21 02:45:00,6539.36,-1639.63,,,4343.13,,0.03,0.04,0.0,,,14.23,121.15,0.12,508.3,,,
2018-05-21 02:50:00,6458.65,-1579.97,,,4330.52,,0.03,0.15,0.0,,,14.17,122.08,0.12,498.98,,,
2018-05-21 02:55:00,6480.04,-1617.07,,,4315.7,,0.03,0.15,0.0,,,14.13,121.6,0.12,498.16,,,
2018-05-21 03:00:00,6503.39,-1651.24,,,4327.72,,0.03,0.12,0.0,,,14.13,121.5,0.12,498.21,51.75,11.6,0.0
2018-05-21 03:05:00,6515.11,-1666.13,,,4231.06,,0.03,0.04,0.0,,,14.13,121.94,0.12,505.19,,,
2018-05-21 03:10:00,6469.06,-1647.39,,,4181.9,,0.03,0.16,0.0,,,14.03,122.33,0.12,505.31,,,
2018-05-21 03:15:00,6506.97,-1652.4,,,4232.73,,0.03,0.15,0.0,,,14.27,121.5,0.12,519.16,,,
2018-05-21 03:20:00,6423.27,-1589.74,,,4241.96,,0.03,0.12,0.0,,,14.11,122.48,0.12,507.53,,,
2018-05-21 03:25:00,6442.85,-1598.22,,,4248.96,,0.03,0.08,0.0,,,14.13,121.06,0.12,500.44,,,
2018-05-21 03:30:00,6441.03,-1597.5,,,4239.79,,0.03,0.13,0.0,,,14.11,121.94,0.12,503.72,54.79,11.8,0.0
2018-05-21 03:35:00,6439.83,-1606.04,,,4241.49,,0.03,0.12,0.0,,,14.23,121.15,0.12,514.82,,,
2018-05-21 03:40:00,6368.67,-1541.44,,,4248.06,,0.03,0.08,0.0,,,14.26,121.15,0.12,489.49,,,
2018-05-21 03:45:00,6412.15,-1592.09,,,4252.11,,0.03,0.15,0.0,,,14.26,120.67,0.12,478.21,,,
2018-05-21 03:50:00,6446.14,-1637.65,,,4248.0,,0.03,0.12,0.0,,,14.11,121.45,0.12,477.83,,,
2018-05-21 03:55:00,6458.72,-1628.4,,,4233.05,,0.03,0.12,0.0,,,14.2,121.11,0.12,497.84,,,
2018-05-21 04:00:00,6415.19,-1598.74,,,4275.11,,0.03,0.12,0.0,,,14.07,122.53,0.12,484.56,54.69,11.8,0.0
2018-05-21 04:05:00,6463.95,-1566.35,,,4264.84,,0.03,0.15,0.0,,,14.32,120.57,0.12,479.74,,,
2018-05-21 04:10:00,6399.36,-1538.27,,,4293.51,,0.03,0.04,0.0,,,14.08,121.94,0.12,483.07,,,
2018-05-21 04:15:00,6491.77,-1528.85,,,4335.46,,0.03,0.15,0.0,,,14.23,121.4,0.12,492.32,,,
2018-05-21 04:20:00,6512.34,-1496.8,,,4387.24,,0.03,0.15,0.0,,,14.04,121.6,0.12,511.44,,,
2018-05-21 04:25:00,6513.15,-1437.83,,,4445.74,,0.03,0.15,0.0,,,14.1,121.45,0.12,543.8,,,
2018-05-21 04:30:00,6515.49,-1464.27,,,4415.44,,0.03,0.12,0.0,,,14.14,121.65,0.12,543.52,52.09,12.2,0.0
2018-05-21 04:35:00,6503.72,-1415.11,,,4471.84,,0.03,0.15,0.0,,,14.24,121.15,0.12,525.76,,,
2018-05-21 04:40:00,6559.99,-1415.01,,,4555.24,,0.03,0.15,0.0,,,14.13,121.65,0.12,514.46,,,
2018-05-21 04:45:00,6667.7,-1440.61,,,4595.56,,0.03,0.15,0.0,,,14.2,121.06,0.12,494.64,,,
2018-05-21 04:50:00,6703.26,-1404.01,,,4647.3,,0.03,0.12,0.0,,,14.18,121.11,0.12,503.33,,,
2018-05-21 04:55:00,6767.19,-1407.75,,,4720.92,,0.03,0.15,0.0,,,14.1,121.79,0.12,508.32,,,
2018-05-21 05:00:00,6745.16,-1348.2,,,4797.55,,0.03,0.15,0.0,,,14.11,121.55,0.12,516.77,57.3,12.6,0.0
2018-05-21 05:05:00,6848.23,-1307.91,,,4847.04,,0.03,0.12,0.0,,,14.33,120.57,0.12,511.97,,,
2018-05-21 05:10:00,6862.57,-1230.09,,,4979.87,,0.03,0.12,0.0,,,14.27,120.86,0.12,505.37,,,
